id_devolucion,id_venta,motivo,fecha_devolucion
85,74157,Cliente no satisfecho,2023-07-08
86,82518,N/A,03-06-2023
87,272976,,2024/04/02 19:00:40
88,81988,Error despacho,2023-06-24
89,122895,Cliente no satisfecho,2024-04-28
90,236352,Error despacho,2023/04/19 07:36:32
91,315977,Cliente no satisfecho,2023-02-23
92,161186,Defecto,11-17-2023
93,268992,Defecto,N/A
94,67848,Error despacho,02-02-2024
95,16442,Error despacho,2023/07/23 23:23:28
96,257825,Error despacho,16/10/2023
97,328519,Cambio de talla,01/04/2023
98,55095,Cambio de talla,N/A
99,59728,Defecto,2024/01/27 01:35:09
100,113457,Defecto,2023-12-01
101,295918,N/A,2023-04-01
102,269222,Defecto,07/06/2023
103,172602,Defecto,2023-02-22
104,157705,Cambio de talla,N/A
105,46940,N/A,N/A
106,328887,Error despacho,2023-11-21
107,75475,Defecto,23/08/2023
108,321620,Defecto,04-28-2024
109,335533,Defecto,N/A
110,58587,Cliente no satisfecho,2024/02/14 17:52:52
111,145215,Cambio de talla,N/A
112,173868,Cliente no satisfecho,01-06-2024
113,168312,Cambio de talla,N/A
114,172084,Cliente no satisfecho,2023/02/17 00:53:10
115,116263,N/A,01/04/2023
116,150392,N/A,04-09-2024
117,290278,Defecto,2023/03/06 13:06:15
118,112960,N/A,2023/11/16 22:11:58
119,118087,Cliente no satisfecho,28/04/2024
120,222740,Error despacho,2023-01-11
121,330240,Cambio de talla,N/A
122,48896,,N/A
123,66571,Error despacho,N/A
124,172728,Cliente no satisfecho,2024/02/19 17:36:43
125,263817,Error despacho,04-30-2023
126,303093,Error despacho,N/A
127,129862,Cambio de talla,N/A
128,199843,Cliente no satisfecho,N/A
129,43931,Cambio de talla,01/08/2023
130,96668,Error despacho,2023/06/21 09:13:57
131,208524,Defecto,2024/01/17 21:29:51
132,166151,Defecto,N/A
133,124976,Cliente no satisfecho,2024-08-28
134,323810,Cliente no satisfecho,2023/05/07 09:15:52
135,220000,Error despacho,2024-09-09
136,251817,Cambio de talla,N/A
137,242068,Error despacho,01-04-2023
138,174301,Cliente no satisfecho,08-01-2024
139,128054,Cliente no satisfecho,2023-12-10
140,280068,N/A,31/03/2023
141,237963,N/A,24/12/2023
142,321690,Error despacho,03/03/2023
143,174985,Cliente no satisfecho,2023-09-23
144,163905,Cambio de talla,N/A
145,147550,Cambio de talla,02/09/2023
146,68809,Defecto,2023-07-04
147,128289,N/A,2023-12-17
148,187953,Cliente no satisfecho,08-29-2024
149,81384,Cambio de talla,08-19-2023
150,322704,Error despacho,03/04/2024
151,317246,Defecto,2023/04/19 19:49:06
152,272541,Cambio de talla,N/A
153,104295,Cliente no satisfecho,2023-12-23
154,236822,Cliente no satisfecho,2023-05-20
155,239272,Defecto,02-12-2024
156,330375,Cliente no satisfecho,14/06/2023
157,241207,Error despacho,10/11/2023
158,61408,Defecto,N/A
159,225293,Error despacho,09-04-2024
160,106588,Defecto,2023/02/25 00:20:19
161,9457,N/A,N/A
162,24477,Defecto,17/11/2023
163,146737,N/A,26/07/2024
164,124102,Defecto,2023-04-13
165,135465,Cambio de talla,25/01/2024
166,161220,Cambio de talla,2023/01/19 00:20:38
167,200688,Cliente no satisfecho,09/09/2023
168,59349,Cliente no satisfecho,2023-01-11
169,139298,Error despacho,11/02/2024
170,70433,Defecto,N/A
171,116666,Cliente no satisfecho,25/03/2024
172,272508,Cambio de talla,06-22-2024
173,278148,Cambio de talla,2024/03/05 19:46:06
174,78150,Cambio de talla,2024-03-12
175,136702,Error despacho,11-18-2023
176,249777,Cambio de talla,07/05/2024
177,210172,Defecto,05-31-2024
178,152376,Defecto,2023/04/06 11:43:33
179,20673,Cambio de talla,2023/07/02 20:20:24
180,315462,Cambio de talla,2024-08-10
181,157985,Cambio de talla,N/A
182,36037,Defecto,N/A
183,182274,N/A,2023/06/21 18:17:47
184,102163,N/A,2024/09/09 05:02:21
185,4122,Error despacho,N/A
186,201777,Defecto,2023-05-21
187,129367,Defecto,2023-09-27
188,330171,Defecto,2023/04/20 09:54:47
189,129152,Cliente no satisfecho,2023-06-05
190,104634,Defecto,25/02/2024
191,64302,Defecto,2023-11-05
192,35757,Defecto,2024/03/15 23:10:10
193,90845,Cliente no satisfecho,2023-01-02
194,129020,Cliente no satisfecho,26/09/2023
195,65600,N/A,N/A
196,332670,Defecto,2024-08-08
197,229783,N/A,2024/07/18 11:03:17
198,85150,N/A,2023/06/17 08:29:34
199,175818,Error despacho,2024-01-24
200,15231,Cambio de talla,N/A
201,237356,Cliente no satisfecho,2023-06-03
202,146152,Error despacho,N/A
203,247304,Defecto,09/08/2024
204,312628,Defecto,2024/03/21 06:29:53
205,302179,Cliente no satisfecho,27/02/2023
206,140881,Cambio de talla,2023/08/22 15:14:55
207,186179,Cliente no satisfecho,07-19-2024
208,37864,N/A,2024/09/17 19:22:20
209,217175,N/A,05-14-2023
210,45975,Cambio de talla,2023-01-08
211,115926,Error despacho,29/09/2024
212,45616,Error despacho,2023/07/29 21:45:15
213,101270,N/A,N/A
214,248208,N/A,2023-03-02
215,41966,Cliente no satisfecho,N/A
216,255288,Cambio de talla,N/A
217,146530,,2023/10/03 12:24:34
218,265698,N/A,N/A
219,97951,Cliente no satisfecho,2023-06-26
220,118319,N/A,N/A
221,42738,Cambio de talla,2024-02-29
222,200149,Error despacho,N/A
223,206617,N/A,11/12/2023
224,249703,Defecto,2024-05-29
225,4011,N/A,2024-06-12
226,143732,Defecto,2024/02/22 16:40:29
227,144325,Error despacho,N/A
228,202840,Cambio de talla,09/06/2023
229,46455,Cliente no satisfecho,24/05/2023
230,236510,Error despacho,11-19-2023
231,164182,Cambio de talla,2024-05-06
232,237910,Cambio de talla,2024/05/03 09:48:18
233,190729,N/A,02-24-2023
234,47253,N/A,2023/11/22 07:38:05
235,336020,Cliente no satisfecho,2023-06-05
236,105577,N/A,01-10-2024
237,291189,Defecto,12-07-2023
238,299506,Cambio de talla,2023/09/15 07:33:47
239,193693,Error despacho,N/A
240,131086,,N/A
241,272359,Cliente no satisfecho,N/A
242,269391,Error despacho,2023-01-28
243,102870,Cambio de talla,2023-07-24
244,338325,Error despacho,2023/08/06 12:26:41
245,46005,Error despacho,2023-05-21
246,264071,N/A,N/A
247,215117,Defecto,N/A
248,151036,Error despacho,2024-04-08
249,39786,Cambio de talla,2024-06-16
250,272620,N/A,2024-07-29
251,121239,N/A,01/08/2024
252,233688,Cliente no satisfecho,13/02/2023
253,172660,Error despacho,2023-10-27
254,89809,Defecto,N/A
255,212509,Cambio de talla,N/A
256,282601,Error despacho,2023/11/20 08:08:04
257,269092,Defecto,2024/05/22 23:55:16
258,210983,Cliente no satisfecho,N/A
259,254452,Defecto,02/02/2023
260,36668,Cliente no satisfecho,2024-03-06
261,58030,N/A,06-28-2024
262,73856,Error despacho,07-29-2024
263,131560,Defecto,09-22-2024
264,95912,Cliente no satisfecho,18/06/2023
265,284076,Cambio de talla,N/A
266,52361,Cambio de talla,2023/04/20 07:34:47
267,285053,Cambio de talla,N/A
268,317922,Cambio de talla,2023-04-15
269,57602,Cliente no satisfecho,N/A
270,11548,N/A,2024-05-20
271,335073,Defecto,05-09-2024
272,245180,Cliente no satisfecho,N/A
273,258558,Error despacho,N/A
274,216955,Cliente no satisfecho,24/07/2023
275,320592,,2023-05-18
276,233562,Defecto,14/10/2023
277,55669,Cliente no satisfecho,19/07/2023
278,132473,Cliente no satisfecho,2023-05-07
279,152295,Error despacho,2023-01-16
280,264976,Defecto,07/08/2023
281,312284,Error despacho,13/01/2024
282,54397,Defecto,2023-03-11
283,191254,N/A,2023-04-12
284,167951,Error despacho,N/A
285,69323,Cliente no satisfecho,2024-05-14
286,284051,Cambio de talla,23/08/2024
287,255393,Defecto,N/A
288,72586,Error despacho,2023/06/14 09:42:16
289,119801,Defecto,2024-03-18
290,300352,Defecto,2024-03-18
291,193006,Defecto,07/01/2024
292,128750,N/A,2024/08/24 14:27:41
293,64102,,05-09-2023
294,182606,N/A,2023-10-02
295,130434,N/A,2024-09-26
296,129459,Error despacho,09-13-2024
297,179040,Cliente no satisfecho,30/08/2024
298,101175,N/A,04-15-2023
299,70187,Defecto,11-02-2023
300,25449,Error despacho,N/A
301,183607,N/A,N/A
302,278582,Defecto,07-10-2023
303,44703,Error despacho,2023/03/27 01:10:14
304,52653,Cambio de talla,2023/12/15 20:16:52
305,93553,Cambio de talla,2023/10/04 22:38:13
306,299157,N/A,N/A
307,221090,N/A,03-13-2023
308,147308,Defecto,06-13-2023
309,177480,N/A,09-07-2024
310,192498,Cambio de talla,2024/06/18 22:06:08
311,203371,Cambio de talla,05/12/2023
312,174621,Error despacho,N/A
313,259509,Defecto,30/09/2023
314,73274,Cliente no satisfecho,2024/01/26 07:10:41
315,167089,N/A,N/A
316,291567,N/A,09-07-2024
317,243295,Cambio de talla,21/03/2023
318,116284,Cliente no satisfecho,2024-03-26
319,108237,Cliente no satisfecho,2024/06/18 18:20:35
320,186867,Defecto,11-30-2023
321,89916,Error despacho,2024-06-21
322,158185,Defecto,N/A
323,291963,Cambio de talla,N/A
324,7638,Cambio de talla,2024-02-20
325,203112,N/A,2023-07-11
326,76235,Defecto,N/A
327,78788,Cliente no satisfecho,2023/05/07 12:54:34
328,15137,Cliente no satisfecho,09-01-2023
329,315328,Cambio de talla,09-20-2024
330,155084,Defecto,2023-05-20
331,20100,Cambio de talla,N/A
332,100553,N/A,N/A
333,214859,Cliente no satisfecho,N/A
334,330795,,2024/07/23 02:39:35
335,79171,Error despacho,07-18-2023
336,305176,Cliente no satisfecho,N/A
337,84746,Cliente no satisfecho,08/05/2024
338,59362,Error despacho,2024/02/28 11:20:53
339,247372,Cambio de talla,2024-01-02
340,141038,Cliente no satisfecho,N/A
341,105076,Defecto,N/A
342,88083,Cliente no satisfecho,05-02-2024
343,69564,Cambio de talla,09-23-2024
344,246266,Defecto,N/A
345,300089,Error despacho,04/06/2024
346,278332,Cliente no satisfecho,2024/03/31 10:55:50
347,204441,Cliente no satisfecho,2023-06-25
348,275150,Error despacho,2024/05/07 07:16:22
349,170216,N/A,N/A
350,14235,Defecto,08-11-2023
351,10674,Cliente no satisfecho,02-22-2024
352,313308,Defecto,02-14-2024
353,54941,Cliente no satisfecho,2023/02/16 07:21:57
354,319919,N/A,2024-03-01
355,139671,Cambio de talla,08-06-2024
356,231961,Cambio de talla,08-30-2023
357,87091,Cambio de talla,30/05/2023
358,218668,Cambio de talla,22/05/2023
359,119995,Error despacho,04-21-2023
360,222044,Defecto,N/A
361,55537,N/A,13/10/2023
362,78040,Error despacho,2024/08/22 15:18:25
363,39507,Defecto,2023/09/11 15:58:48
364,252547,Defecto,2023-03-28
365,110308,Cliente no satisfecho,2024/08/13 03:27:20
366,135356,Cambio de talla,2024-01-06
367,193015,Cambio de talla,05-27-2023
368,96121,Defecto,2024/03/30 23:53:24
369,38465,Error despacho,2024/06/24 13:42:36
370,228338,Cliente no satisfecho,24/06/2023
371,334001,Cliente no satisfecho,N/A
372,239812,Defecto,N/A
373,215122,N/A,2023/02/13 09:35:13
374,243677,Defecto,N/A
375,170703,Cliente no satisfecho,04-06-2024
376,48671,Cliente no satisfecho,10-25-2023
377,47397,Error despacho,07-13-2024
378,180867,N/A,2024/04/02 22:13:44
379,306628,Defecto,2024-06-08
380,45799,Error despacho,03-08-2024
381,144570,Cliente no satisfecho,03-26-2023
382,146627,Cliente no satisfecho,21/10/2023
383,146420,Error despacho,03-01-2023
384,309073,Defecto,08-28-2024
385,32074,Cambio de talla,N/A
386,244016,Error despacho,2023/03/24 21:04:29
387,94825,Cliente no satisfecho,N/A
388,38490,N/A,N/A
389,52091,Cliente no satisfecho,2023/01/27 02:43:35
390,255392,Cliente no satisfecho,2024-04-30
391,196938,Error despacho,03-13-2024
392,307308,Cliente no satisfecho,2024-01-15
393,336122,Cliente no satisfecho,01-03-2023
394,48657,Error despacho,18/09/2024
395,122246,Cliente no satisfecho,2023-10-17
396,294612,Cambio de talla,09-21-2024
397,183508,Cliente no satisfecho,N/A
398,90298,Cambio de talla,N/A
399,205801,N/A,N/A
400,315688,Error despacho,07-28-2023
401,256647,Cliente no satisfecho,07-25-2023
402,184853,N/A,2024/04/23 10:49:54
403,154641,N/A,2024-03-22
404,116279,Cambio de talla,02-16-2024
405,184815,Defecto,29/01/2024
406,103655,N/A,08-09-2024
407,126783,Cliente no satisfecho,2023-04-30
408,177633,,11-27-2023
409,248195,N/A,06-11-2023
410,275178,Cliente no satisfecho,N/A
411,334158,Error despacho,2024/07/05 21:49:10
412,246829,N/A,05/04/2024
413,85171,Error despacho,2023/11/07 11:33:43
414,306600,N/A,31/10/2023
415,162945,Error despacho,2023-03-13
416,74637,Cliente no satisfecho,05-17-2023
417,109287,Error despacho,12/05/2024
418,236631,Cliente no satisfecho,05/04/2024
419,19958,Defecto,N/A
420,171200,Cliente no satisfecho,07/07/2024
421,81117,Defecto,2023-10-20
422,193941,N/A,2023/04/06 10:33:08
423,138081,Defecto,20/09/2023
424,80597,Error despacho,2023/06/19 00:54:20
425,288202,N/A,2023/11/04 18:56:50
426,286614,N/A,2023/03/16 17:50:28
427,165732,Defecto,2023/11/27 19:31:25
428,39374,Defecto,11/12/2023
429,254280,Error despacho,2023/09/26 05:49:00
430,262362,Error despacho,2024-04-19
431,284161,Cambio de talla,2023/03/31 05:21:03
432,80574,N/A,07-15-2024
433,307294,N/A,04-14-2023
434,324305,N/A,2023/01/06 15:45:00
435,215664,Error despacho,2024/09/22 18:38:53
436,14513,,N/A
437,333099,Cliente no satisfecho,2023-02-20
438,300226,Defecto,2023/03/03 07:21:39
439,179573,N/A,10/01/2023
440,300206,Defecto,2023-02-23
441,88439,N/A,2023-02-09
442,30906,Cambio de talla,N/A
443,86532,N/A,09-23-2024
444,35274,Error despacho,2024-03-29
445,284519,Defecto,2023-05-22
446,218525,N/A,2023/06/05 21:35:33
447,242936,Error despacho,2023/03/12 17:58:48
448,275248,Error despacho,2024/06/05 17:38:28
449,26313,N/A,03-01-2023
450,137666,Cambio de talla,2024/04/11 04:27:37
451,124598,Defecto,N/A
452,327014,N/A,2023-05-16
453,334336,N/A,08-17-2024
454,141283,N/A,02/07/2023
455,131012,Cambio de talla,09-20-2023
456,330500,Error despacho,N/A
457,180500,Cliente no satisfecho,25/06/2023
458,15239,Defecto,06-26-2024
459,203788,Defecto,09-20-2023
460,330356,Defecto,2024-09-01
461,244487,Cliente no satisfecho,N/A
462,139400,Defecto,2023/01/31 01:17:26
463,248799,N/A,N/A
464,96108,Defecto,N/A
465,269495,Cambio de talla,N/A
466,48748,Cambio de talla,N/A
467,177414,Defecto,2023-12-07
468,251181,Error despacho,01-04-2024
469,82444,Defecto,N/A
470,24761,Cliente no satisfecho,02-03-2024
471,138495,Error despacho,2023-08-28
472,329934,Error despacho,24/02/2024
473,63586,Cliente no satisfecho,N/A
474,35595,N/A,05/06/2024
475,80983,Cambio de talla,19/07/2024
476,185472,Error despacho,2023-11-06
477,330288,Cambio de talla,N/A
478,236374,N/A,2023-03-28
479,31438,Cliente no satisfecho,14/09/2024
480,86029,Cambio de talla,2023/04/03 02:30:49
481,18979,N/A,2023-11-17
482,213625,Defecto,N/A
483,159752,Cambio de talla,07-20-2023
484,105734,Defecto,09-29-2024
485,314457,N/A,2024/07/01 17:16:40
486,211709,Error despacho,2023/03/04 06:38:32
487,322428,Defecto,2023-08-26
488,334483,Cambio de talla,2024/09/07 17:49:36
489,158670,Defecto,2024-08-14
490,65638,Cliente no satisfecho,22/04/2023
491,251078,N/A,06-22-2024
492,152776,Cliente no satisfecho,2023-05-21
493,319164,Error despacho,01-23-2023
494,271727,N/A,02-02-2024
495,64750,Error despacho,05-16-2024
496,26296,Cambio de talla,11-08-2023
497,163495,Error despacho,02-08-2023
498,17696,N/A,2023/10/25 21:42:47
499,256364,N/A,2024/01/15 03:23:58
500,202137,Cliente no satisfecho,21/06/2024
501,324065,Cambio de talla,2024-01-10
502,109447,Error despacho,19/07/2024
503,322375,Error despacho,2023-01-23
504,10779,Error despacho,2023/07/12 10:01:07
505,107771,Error despacho,2023/08/09 12:23:49
506,67707,N/A,02-13-2024
507,168631,Cliente no satisfecho,2023-08-23
508,281291,Error despacho,2024/05/13 07:01:24
509,28119,Error despacho,2023-12-15
510,291381,N/A,08-11-2024
511,252015,Error despacho,2024-01-26
512,192611,N/A,2023/03/03 00:02:43
513,158655,Defecto,N/A
514,5274,N/A,2023/06/14 08:48:02
515,254493,N/A,01-29-2023
516,220805,Cambio de talla,27/01/2023
517,75463,N/A,09-20-2023
518,239466,Cliente no satisfecho,N/A
519,217375,N/A,2023-05-27
520,266953,Cambio de talla,N/A
521,100907,Cliente no satisfecho,2023/08/12 17:18:13
522,243670,N/A,2023/08/09 08:07:20
523,127035,Defecto,2024-02-05
524,84543,N/A,N/A
525,212000,Defecto,2024/07/13 02:00:39
526,156193,Error despacho,03-07-2024
527,112999,Error despacho,2023/09/15 14:35:52
528,22927,Error despacho,2023-02-07
529,143960,,2023-08-17
530,298434,Defecto,10-13-2023
531,170801,Error despacho,2024/06/08 15:58:36
532,68579,Cambio de talla,31/03/2024
533,80920,N/A,2023/03/17 23:32:19
534,155796,Error despacho,21/06/2024
535,33806,Cliente no satisfecho,2023-06-28
536,243407,Error despacho,2024-06-05
537,265707,Cliente no satisfecho,2023-08-18
538,132510,Error despacho,25/09/2023
539,53149,Defecto,2024-08-17
540,112859,Cambio de talla,2024/02/22 18:40:22
541,49990,Cambio de talla,21/07/2024
542,22334,Error despacho,2023/11/19 03:12:52
543,95702,Cambio de talla,2023-07-08
544,253870,Defecto,2023-10-03
545,153622,N/A,2024/06/06 20:22:57
546,137596,N/A,2023/10/16 12:54:22
547,266944,N/A,2023/08/14 16:51:10
548,327991,Defecto,2024/04/30 14:07:44
549,61111,Cambio de talla,2024-04-26
550,224223,N/A,07-27-2024
551,206516,Error despacho,20/03/2024
552,22088,Cliente no satisfecho,2024/08/25 23:54:21
553,128410,,2024/05/08 06:44:19
554,325941,Cambio de talla,2024-07-14
555,117904,Defecto,2023/08/15 11:38:17
556,232809,N/A,2023-06-04
557,170127,N/A,N/A
558,138389,Cliente no satisfecho,16/04/2023
559,232062,Error despacho,08-28-2024
560,23919,Cliente no satisfecho,2023/04/18 11:15:44
561,190459,Defecto,N/A
562,98209,Cambio de talla,2023-03-19
563,298247,N/A,09/01/2024
564,322846,Defecto,N/A
565,118000,Defecto,2024-04-27
566,254368,Defecto,2023/02/25 10:15:13
567,155147,Error despacho,N/A
568,320228,Cambio de talla,21/10/2023
569,91508,Error despacho,04-01-2023
570,198917,Cliente no satisfecho,N/A
571,29768,Defecto,2023/03/14 18:40:01
572,49741,Cambio de talla,2024-04-20
573,124298,Defecto,27/08/2023
574,334981,Cliente no satisfecho,2023-11-22
575,97263,Cliente no satisfecho,19/05/2024
576,128650,N/A,26/01/2024
577,183575,Cambio de talla,2024/09/27 23:38:58
578,211942,Cambio de talla,06-23-2024
579,106918,Error despacho,04-04-2023
580,297857,Cliente no satisfecho,02-07-2023
581,141112,Cliente no satisfecho,2023/02/20 10:19:26
582,112642,Defecto,2024-08-06
583,236190,Error despacho,N/A
584,86550,Cambio de talla,2024-03-22
585,198857,Defecto,07/02/2024
586,152847,Defecto,30/12/2023
587,91004,Cliente no satisfecho,N/A
588,323732,Defecto,29/03/2024
589,24049,Cliente no satisfecho,2023/04/11 18:31:27
590,181481,Error despacho,07-05-2023
591,287251,N/A,19/05/2023
592,231466,Defecto,N/A
593,316449,Defecto,24/04/2024
594,174600,Cliente no satisfecho,2023-11-21
595,339484,Error despacho,2023-09-29
596,155481,Error despacho,N/A
597,203255,Error despacho,N/A
598,304301,Error despacho,16/07/2024
599,249949,Defecto,2023-01-13
600,82496,N/A,N/A
601,254146,Defecto,2024/02/15 10:29:12
602,322712,Cambio de talla,2024/01/01 07:00:06
603,323814,Cambio de talla,2023-05-02
604,125351,Cliente no satisfecho,N/A
605,91923,Cambio de talla,2023-04-09
606,53222,N/A,2024/07/05 21:05:21
607,188654,N/A,N/A
608,95797,N/A,10-08-2023
609,77333,Defecto,N/A
610,246039,N/A,N/A
611,155547,Error despacho,2024/03/17 14:32:25
612,20377,Error despacho,2024/08/14 06:38:46
613,45561,N/A,N/A
614,17518,Cambio de talla,04/09/2023
615,16464,Cliente no satisfecho,18/04/2023
616,302591,Cliente no satisfecho,2023-12-20
617,271177,Defecto,2023-07-11
618,172178,N/A,2023/08/31 19:46:37
619,86444,Cliente no satisfecho,2024/07/02 03:15:15
620,47280,Error despacho,N/A
621,130600,Error despacho,2023/05/01 03:22:07
622,293733,Cambio de talla,N/A
623,92388,Cliente no satisfecho,2024-08-02
624,143426,Cambio de talla,N/A
625,206359,Cambio de talla,11-21-2023
626,284438,Defecto,04-01-2024
627,329198,Cambio de talla,2023-10-10
628,70623,Defecto,N/A
629,173854,Cliente no satisfecho,02-28-2024
630,21596,Error despacho,2024/03/03 09:32:00
631,66407,Defecto,2023-07-04
632,122685,Cliente no satisfecho,2023-05-06
633,279657,Defecto,17/03/2024
634,275945,N/A,2024-09-22
635,32835,N/A,2023-11-11
636,159397,Cambio de talla,N/A
637,240103,Defecto,22/10/2023
638,45323,N/A,2024/03/19 14:07:33
639,9766,N/A,N/A
640,2617,Cambio de talla,N/A
641,305555,Defecto,27/01/2024
642,104177,N/A,28/09/2023
643,107132,Cambio de talla,2024/08/01 23:02:48
644,144742,Cliente no satisfecho,04-07-2024
645,241721,Cambio de talla,2024/06/15 16:42:34
646,287510,Cambio de talla,2023/08/18 13:01:37
647,261041,N/A,N/A
648,135221,Defecto,04-25-2023
649,95321,Defecto,N/A
650,300569,Defecto,2023-08-22
651,213768,N/A,2024/03/09 17:59:11
652,182676,Cambio de talla,N/A
653,107778,Cambio de talla,09/07/2023
654,313318,N/A,N/A
655,22312,Error despacho,2024-08-03
656,70400,Cliente no satisfecho,07-01-2023
657,122170,Error despacho,01/09/2023
658,328664,Error despacho,N/A
659,29136,N/A,05-06-2024
660,285939,Defecto,N/A
661,68140,Defecto,N/A
662,63369,Defecto,2023-12-08
663,60505,Cambio de talla,2023/03/03 17:14:53
664,39972,N/A,N/A
665,202823,N/A,N/A
666,189679,Cliente no satisfecho,2024/02/15 16:30:24
667,110685,Defecto,2024-03-21
668,90771,N/A,N/A
669,152297,Defecto,N/A
670,326653,Cliente no satisfecho,2023-12-23
671,36069,Cliente no satisfecho,29/12/2023
672,209632,N/A,N/A
673,248577,Defecto,2024-04-14
674,250105,Defecto,08/07/2024
675,251582,Error despacho,N/A
676,185621,Error despacho,2023-10-14
677,121986,Cliente no satisfecho,17/07/2024
678,98346,Error despacho,06-30-2023
679,180692,Cliente no satisfecho,24/07/2023
680,4615,Defecto,05-26-2024
681,127905,Error despacho,2023-09-06
682,9171,N/A,2024/06/22 21:08:01
683,52754,Cliente no satisfecho,04-16-2023
684,169136,Defecto,12-24-2023
685,243145,Error despacho,08/11/2023
686,63399,Cliente no satisfecho,04-16-2023
687,291220,Cliente no satisfecho,N/A
688,10513,Defecto,2024-01-16
689,291797,Error despacho,09-14-2023
690,89911,Cliente no satisfecho,N/A
691,133588,Defecto,01/01/2023
692,106174,N/A,06/07/2023
693,136765,N/A,N/A
694,147890,Error despacho,2024/06/02 07:39:34
695,290326,Defecto,2023-06-03
696,115959,Defecto,06-20-2024
697,175513,Error despacho,N/A
698,34528,Error despacho,N/A
699,173659,Defecto,02-01-2023
700,14745,N/A,08-15-2024
701,142080,Defecto,2024/01/16 01:03:43
702,281105,N/A,07-18-2023
703,264074,Cliente no satisfecho,N/A
704,279173,N/A,2023-03-29
705,85042,Cambio de talla,N/A
706,16813,Defecto,N/A
707,76966,N/A,2023-11-21
708,329504,Defecto,N/A
709,231047,Defecto,2024/08/28 03:21:12
710,223362,Cliente no satisfecho,2024-08-10
711,56558,Error despacho,N/A
712,212050,Cliente no satisfecho,08-21-2024
713,192608,Defecto,05-28-2024
714,320684,Cliente no satisfecho,23/08/2024
715,261826,N/A,2023-12-20
716,304255,Cambio de talla,06-30-2023
717,85689,Defecto,01-22-2024
718,32522,Cambio de talla,N/A
719,258937,Cliente no satisfecho,08/06/2023
720,56061,Cambio de talla,29/07/2024
721,205587,Error despacho,2024/03/25 18:57:03
722,215556,Error despacho,N/A
723,28123,Cambio de talla,2024/07/25 14:19:07
724,84299,Error despacho,06/09/2024
725,140234,Error despacho,07/08/2023
726,49030,Error despacho,20/07/2023
